skew_type	skew_bin	ccre_class	n
SKNSH_skew	[1.5,Inf)	non-cCRE	4634
SKNSH_skew	[1.5,Inf)	pELS	510
mean_skew	(-Inf,-1.5)	Other cCREs	866
mean_skew	(-Inf,-1.5)	PLS	427
mean_skew	(-Inf,-1.5)	dELS	2866
mean_skew	(-Inf,-1.5)	non-cCRE	3362
mean_skew	(-Inf,-1.5)	pELS	513
mean_skew	[-0.05,0.05)	Other cCREs	1985563
mean_skew	[-0.05,0.05)	PLS	81036
mean_skew	[-0.05,0.05)	dELS	4242650
mean_skew	[-0.05,0.05)	non-cCRE	32997026
mean_skew	[-0.05,0.05)	pELS	660704
mean_skew	[-0.2,-0.05)	Other cCREs	451025
mean_skew	[-0.2,-0.05)	PLS	39818
mean_skew	[-0.2,-0.05)	dELS	1137608
mean_skew	[-0.2,-0.05)	non-cCRE	5740538
mean_skew	[-0.2,-0.05)	pELS	190899
mean_skew	[-0.5,-0.2)	Other cCREs	64874
mean_skew	[-0.5,-0.2)	PLS	13376
mean_skew	[-0.5,-0.2)	dELS	190066
mean_skew	[-0.5,-0.2)	non-cCRE	528657
mean_skew	[-0.5,-0.2)	pELS	36263
mean_skew	[-1.0,-0.5)	Other cCREs	12408
mean_skew	[-1.0,-0.5)	PLS	3995
mean_skew	[-1.0,-0.5)	dELS	39115
mean_skew	[-1.0,-0.5)	non-cCRE	54911
mean_skew	[-1.0,-0.5)	pELS	7617
mean_skew	[-1.5,-1.0)	Other cCREs	2609
mean_skew	[-1.5,-1.0)	PLS	925
mean_skew	[-1.5,-1.0)	dELS	8254
mean_skew	[-1.5,-1.0)	non-cCRE	9427
mean_skew	[-1.5,-1.0)	pELS	1592
mean_skew	[0.05,0.2)	Other cCREs	440717
mean_skew	[0.05,0.2)	PLS	37849
mean_skew	[0.05,0.2)	dELS	1087839
mean_skew	[0.05,0.2)	non-cCRE	5357920
mean_skew	[0.05,0.2)	pELS	194111
mean_skew	[0.2,0.5)	Other cCREs	61747
mean_skew	[0.2,0.5)	PLS	11061
mean_skew	[0.2,0.5)	dELS	179671
mean_skew	[0.2,0.5)	non-cCRE	524651
mean_skew	[0.2,0.5)	pELS	37291
mean_skew	[0.5,1.0)	Other cCREs	10357
mean_skew	[0.5,1.0)	PLS	2307
mean_skew	[0.5,1.0)	dELS	32085
mean_skew	[0.5,1.0)	non-cCRE	66340
mean_skew	[0.5,1.0)	pELS	7208
mean_skew	[1.0,1.5)	Other cCREs	1740
mean_skew	[1.0,1.5)	PLS	359
mean_skew	[1.0,1.5)	dELS	5996
mean_skew	[1.0,1.5)	non-cCRE	10087
mean_skew	[1.0,1.5)	pELS	1365
mean_skew	[1.5,Inf)	Other cCREs	464
mean_skew	[1.5,Inf)	PLS	84
mean_skew	[1.5,Inf)	dELS	1730
mean_skew	[1.5,Inf)	non-cCRE	2987
mean_skew	[1.5,Inf)	pELS	397
